,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,UE34,Intitulé de l'EC,AU1,Automatique 1,,,,,,,,,
Compétence 2,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,,,2,C,,Capacité,"Etre capable de modéliser des systèmes physiques par Bond-Graph, équations différentielles, fonctions de transfert et représentations d'état",,,,,,,,,,,
,Capacité,Etre capable de rédiger un GRAFCET et un cahier des charges sous forme d'analyse fonctionnelle (GEMMA),,,,,,,,,,,,,,,Capacité,"Etre capable d'analyser des systèmes linéaires, schémas blocs, en boucle ouverte / boucle fermée",,,,,,,,,,,
,Capacité,"Etre capable de modéliser des systèmes physiques par Bond-Graph, équations différentielles, fonctions de transfert et représentations d'état",,,,,,,,,,,,,,,Capacité,"Etre capable d'analyser la stabilité : carte des pôles et zéros, Critère algébrique (Routh), Lieu d'Evans",,,,,,,,,,,
,Capacité,"Etre capable d'analyser des systèmes linéaires, schémas blocs, en boucle ouverte / boucle fermée",,,,,,,,,,,,,,,Capacité,Etre capable de régler les paramètres d'un correcteur par calcul ou éxpérimentalement,,,,,,,,,,,
,Capacité,"Etre capable d'analyser la stabilité : carte des pôles et zéros, Critère algébrique (Routh), Lieu d'Evans",,,,,,,,,,,,,,,Connaissance,Connaître des généralités sur l'Automatique et les technologies mécatroniques,,,,,,,,,,,
,Capacité,Etre capable de régler les paramètres d'un correcteur par calcul ou éxpérimentalement,,,,,,,,,,,,,,,Connaissance,Connaître les modes de représentations et d'analyses temporelle et fréquentielle de systèmes du premier et du second ordres,,,,,,,,,,,
,Connaissance,Connaître des généralités sur l'Automatique et les technologies mécatroniques,,,,,,,,,,,,,,,Connaissance,"Connaître les critères de stabilité des systèmes bouclés : Critère de Nyquist, Critère du revers",,,,,,,,,,,
,Connaissance,Connaître les modes de représentations et d'analyses temporelle et fréquentielle de systèmes du premier et du second ordres,,,,,,,,,,,,,,,Connaissance,"Connaître les structures élémentaires des correcteurs : P, PI, PD, avance de phase, retard de phase, PID, PID filtré",,,,,,,,,,,
,Connaissance,"Connaître les critères de stabilité des systèmes bouclés : Critère de Nyquist, Critère du revers",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Connaître les structures élémentaires des correcteurs : P, PI, PD, avance de phase, retard de phase, PID, PID filtré",,,,,,,,,,,,,,,Concevoir et  développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,,
,Mots-clés,"GRAFCET, GEMMA, Automate Programmable Industriel, Boucle ouverte/Boucle fermée, Asservissement, Régulation, Stabilité, Correcteur PID",,,,,,,,,,,,,,,Capacité,Etre capable d'utiliser les fonctions de base du logiciel Unity pour mettre en place une commande dans un automate programmable industriel,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Capacité,Etre capable d'utiliser Matlab et Simulink pour faire des simulations temporelles simples et des analyses fréquentielles,,,,,,,,,,,
Compétence 3,,Concevoir et  développer des logiciels haut et bas niveau pour des systèmes  (traitement et gestion de l’information),,,,,,,,,,,,1,C,,Connaissance,"Connaître les bases de certains outils logiciels industriels d'Automatique : Matlab-Simulink, Unity Pro",,,,,,,,,,,
,Capacité,Etre capable d'utiliser les fonctions de base du logiciel Unity pour mettre en place une commande dans un automate programmable industriel,,,,,,,,,,,,,,,Connaissance,Connaître les notions de base de la norme IEC 61131-3,,,,,,,,,,,
,Capacité,Etre capable d'utiliser Matlab et Simulink pour faire des simulations temporelles simples et des analyses fréquentielles,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Connaître les bases de certains outils logiciels industriels d'Automatique : Matlab-Simulink, Unity Pro",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Connaître les notions de base de la norme IEC 61131-3,,,,,,,,,,,,,,,PROGRAMME,,,,,,,,,,,,
,Mots-clés,"Programmation d'automates, Simulations temporelles et fréquentielles, Matlab, Simulink",,,,,,,,,,,,,,,Introduction à l'Automatique (2h Cours),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Analyse fonctionnelle et programmation d'automates ( Systèmes à évenements discrets : 6h Cours + 12h TD),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Cahier des charges et Analyse Fonctionnelle (GEMMA) ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Technologie électropneumatique  (FluidSim),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Rappels GRAFCET ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Présentation Unity,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Inititation à la Modélisation, l'Analyse et la Commande d'un système (Systèmes Continus : 12h Cours + 24h TD)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Modélisation des systèmes physiques par Bond-Graph et Equations différentielles ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Eléments de systèmes Electriques : R, L, C ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Eléments de systèmes Mécaniques : M, J, f, ressort ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Passage représentation d’état-FT / Bond-Graph ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Analyse des systèmes linéaires ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Fonction de transfert, Schéma bloc, Bond Graph",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Analyse fréquentielle : Bode, Nyquist, Black ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Analyse de stabilité : critères algébriques et graphiques,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Structure élémentaire des correcteurs ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"P, PI, PD, avance de phase, retard de phase, PID, PID filtré",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Projet Simulation systèmes avec Matlab-Simulink,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Travaux pratiques (18h TP),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Mise en oeuvre d’un servo-moteur,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Régulation de niveau avec PID industriel,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Asservissement de vitesse d’un moteur à courant continu,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Traitement de surface,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Chaine pneumatique de manipulation ou Transstockeur,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MOTS-CLES,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Modélisation, Actionneurs, Pré-actionneurs, Bond-Graph, Stabilité, Asservissement, Régulation, Correcteur PID",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Simulations temporelles et fréquentielles, Matlab, Simulink",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Analyse Fonctionnelle, GEMMA, GRAFCET, Automate Programmable Industriel",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
