,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,TC2,Télécommunications 2,,Circuits RF & Antennes,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Concevoir un amplificateur radiofréquence faible bruit (LNA) à partir d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Concevoir un oscillateur radiofréquence (VCO) à partir d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Concevoir un amplificateur de puissance radiofréquence (PA) à partir d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Concevoir un mélangeur radiofréquence (MIXER) à partir d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Concevoir une antenne (filaire, patch) à partir d'un cahier des charges",,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Couverture et planification radio,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Sensibilité, dynamique et sélectivité d'un système d'émission-réception RF",,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Architecture des circuits radiofréquences d'émission et de réception,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"CAO RF, Logiciel ADS, Antenne, SIMO, MIMO, LNA, PA, MIXER, VCO, sensibilité, plancher de bruit, sélectivité, dynamique (SFDR)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en œuvre des principes et stratégies d’ordonnancements des tâches et de gestion,,,,,,,,,,2,C,,,,,,,,,,,,,,,
,Capacité,Organiser et partitioner un travail de recherche et de conception CAO entre 6 et 10 personnes,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Planifier les différentes taches de conception CAO à partir de cahier de charge,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Respecter les délais et les objectifs du maitre d'ouvrage,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Apprentissage par projets - Etude de cas,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Gestion de projet de recherche documentaire et de création d'entreprise,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Lecture et analyse d'un cahier des charges,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Cahier des charges, rapports d'avancement, réunion d'avancement, diagramme de Gantt",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,3,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,3,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,3,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se connaître, se gérer physiquement et mentalement",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Faire preuve de créativité, innover, entreprendre",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Travailler dans un contexte international et interculturel ,,,,,,,,,,,,,,,,,,,,,,,,,,
