,,UE33,Humanités 1,HU1,3,32,,,,,,,,,,,,,,,,,M,M,M,M,M,M,M,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3GE ,UE34,Automatique 1 ,AU1,5,72,1,1,1,1,1,1,,,,,1,2,1,,,,,,,,M,M,,,,
,Sem 6,,Transferts Thermiques,TT,2,32,1,1,1,1,1,1,,1,2,1,,1,,,,,,,,,,,,,,
,,,Mathématiques 2,MA2,4,58,,,,,,,,,,,3,,,1,,,,,M,,,,,,,
,,UE35,Electronique de puissance et Electrotechnique 2,ETEP2,4,78,,,,,,,,2,2,2,,,1,,,,,,,,M,,,,,
,,,Electronique et Capteurs 2,EC2,5,88,2,2,2,1,M,1,,2,,,,2,1,,,,,,M,,M,M,,,,
,,,Informatique 2,IF2,2,31,,,,,,,,,,,2,2,,2,1,,,,M,,M,M,,,,
,,UE36,Humanités 2,HU2,3,35,,,,,,,,,,,,,,,,,,2,2,,1,2,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4GE,UE41,Automatique 2,AU2,3,50,2,2,2,2,M,2,,,,,,,3,2,,,,,,,M,M,,,,
,Sem 7-8,,Automatique 3,AU3,3,49,2,2,2,2,M,2,,,,,3,,3,2,2,,,,,,M,M,,,,
,,,Mathématiques 3,MA3,3,40,,,,,,,,,,,2,,,,,,M,,M,M,,,,,,
,,,Traitement du signal ,TS,3,38,2,2,M,2,,,,,,,2,2,,,,,,,,,M,,,,,
,,UE42,Electronique de puissance et Electrotechnique 3,ETEP3,3,50,2,2,2,2,M,1,,3,2,3,,,1,,,,,,,,M,,,,,
,,,Télécommunications 2,TC2,4,74,,,,,,,,3,2,2,,2,,,2,,,M,M,,,,,,,
,,,Informatique 3,IF3,2,34,1,2,1,2,,,,,,,3,,,3,2,,,,,,M,M,,,,
,,,Projet 1,PRT,3,7,✻,✻,✻,✻,✻,✻,,✻,✻,✻,✻,✻,✻,✻,✻,,,,,,,,,,,
,,UE43,Humanités 3,HU3,1,16,,,,,,,,,,,,,,,,,,,,M,,M,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4GE,UE44,Stage,,30,,✻,✻,✻,✻,✻,✻,,✻,✻,✻,✻,✻,✻,✻,✻,,,,,,,,,,,
,Sem 7-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5GE ,UE51,Informatique 4,IF4,2,46,2,2,2,,M,2,,,,,,,,2,3,,,,,,,M,,,,
,Sem 9,,Automatique 4,AU4,3,50,2,2,2,2,M,2,,,,2,3,,3,,,,,,,,M,M,,,,
,,,Mathématiques 4,MA4,3,40,,,,,,,,,,,M,,3,,3,,M,,,M,,,,,,
,,UE52,Télécommunications 3,TC3,2,24,,,,,,,,2,,,,2,,,2,,,,,,,,,,,
,,,Electronique et Capteurs 3,EC3,2,38,3,2,,2,,2,,,2,,,2,,,,,,M,M,,,,,,,
,,,Travaux Pratiques Transversaux ,TPTR,3,64,,,,,,,,3,2,3,3,3,3,3,2,,,,,,,,,,,
,,UE53,Humanités 4,HU4,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UE54,Option CEE,Option,12,180,3,3,,3,2,3,,2,3,3,,,2,,,,,M,M,M,,M,,,,
,,,Option TDSI,Option,12,180,2,2,3,3,3,3,,,,,3,3,,3,,,M,,M,,,,M,,,
,,,Option SEI,Option,12,180,,,,,,,,3,3,,,,,,,,,M,M,,,,,,,
,,,Option ISIP,Option,12,180,3,M,3,3,2,3,,,,,,,3,3,2,,,M,M,M,*,M,,,,
,,,Option REEL,Option,12,180,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Option CCSA,Option,12,180,3,M,3,3,2,3,,1,,3,,3,3,,,,,,,,,,,,,
,,,Option SEC,Option,12,180,,,,,,,,3,,2,2,3,,,,,,,,,M,M,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5GE,UE55,Option SHES,SHES,6,96,✻,✻,✻,✻,✻,✻,,✻,✻,✻,✻,✻,✻,✻,✻,,,,,,,,,,,
,Sem 10,UE56,Projet de fin d'études ,PFE,24,15,✻,✻,✻,✻,✻,✻,,✻,✻,✻,✻,✻,✻,✻,✻,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Partenariat entreprise Projet et accompagnement dans la formalisation du projet professionnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,✻: niveau spécifique dépendant des choix de l'étudiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Groupe de travail :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Info. indus. : T. Grenier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Autom : X. Brun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electronique :  M. Lallart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ETEP : C. Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TC : J. Verdier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maths et Signal : B. Roux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Humanités : C. Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ens. Transversaux : P. DELACHARTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
