,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE41,Intitulé de l'EC,TS,Traitement du Signal,,,,,,,,,,,,,,UE41,Intitulé de l'EC,TS,Traitement du Signal,,,,,
,Connaissance,Modélisation des systèmes et des signaux,,,,,,,,,,,,,,,,Généralités sur le filtrage.,,,,,,,,
,Connaissance,Modélisation de l’échantillonnage des signaux,,,,,,,,,,,,,,,,Filtrage analogique.,,,,,,,,
,Connaissance,Modélisation de la quantification des signaux échantillonnés,,,,,,,,,,,,,,,,Filtres actifs.,,,,,,,,
,Connaissance,Modélisation des processus aléatoires,,,,,,,,,,,,,,,,Filtrage numérique.,,,,,,,,
,Connaissance,Corrélation et densité spectrale,,,,,,,,,,,,,,,,Structure des filtres numériques.,,,,,,,,
,Connaissance,Modélisation des filtres linéaires invariants analogiques et numériques,,,,,,,,,,,,,,,,Filtres à réponse impulsionnelle infinie.,,,,,,,,
,Connaissance,Fonctions d’approximation des filtres linéaires invariants,,,,,,,,,,,,,,,,Filtres à réponse impulsionnelle finie et à phase linéaire.,,,,,,,,
,,,,,,,,,,,,,,,,,,Travaux pratiques analyse spectrale et filtrage,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Etre capable de résoudre un problème en maîtrisant les limites ,,,,,,,,,,,,2,C,,,MOTS-CLES,,,,,,,,
,Capacité,Modéliser et dimensionner une chaîne d'acquisition et de restitution des signaux analogiques et numériques,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Modéliser un problème de filtrage et synthétiser un filtre analogique ou numérique,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Théorème de Shannon,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation de l’échantillonnage des signaux,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation de la quantification des signaux échantillonnés,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Corrélation et densité spectrale,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation des filtres linéaires invariants analogiques et numériques,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Etre capable d'observer, d'identifier, de mesurer, d'expérimenter ",,,,,,,,,,,,2,C,,,,,,,,,,,
,Capacité,Calculer les composants d'un filtre analogique actif à partir d'un gabarit,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Calculer les coefficients des filtres numériques FIR et IIR à partir d'un gabarit,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation des systèmes et des signaux,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation de l’échantillonnage des signaux,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation de la quantification des signaux échantillonnés,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation des filtres linéaires invariants analogiques et numériques,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Etre capable de collecter, analyser et interpréter des données ",,,,,,,,,,,,2,C,,,,,,,,,,,
,Capacité,"Observer et analyser un signal, son spectre et les effets de l’échantillonnage",,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Observer et analyser le comportement des filtres,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation des systèmes et des signaux,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation de l’échantillonnage des signaux,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Modélisation des filtres linéaires invariants analogiques et numériques,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FICHE ECTS ACTUELLE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COMPETENCES et OBJECTIFS:,,,,,,,,,,,,,,,,,,,,,,,,
,,Comprendre l'acquisition et la restitution des signaux analogiques et numériques,,,,,,,,,,,,,,,,,,,,,,,,
,,Modéliser et dimensionner une chaîne d'acquisition et de restitution des signaux analogiques et numériques,,,,,,,,,,,,,,,,,,,,,,,,
,,Comprendre les principes de bases de la modélisation statistique du signal et les notions de corrélation et densité spectrale,,,,,,,,,,,,,,,,,,,,,,,,
,,Modéliser un problème de filtrage et de synthétiser un filtre analogique ou numérique,,,,,,,,,,,,,,,,,,,,,,,,
,,Calculer les composants d'un filtre analogique actif à partir d'un gabarit,,,,,,,,,,,,,,,,,,,,,,,,
,,Calculer les coefficients des filtres numériques FIR et IIR à partir d'un gabarit,,,,,,,,,,,,,,,,,,,,,,,,
,,Programmer un filtre numérique,,,,,,,,,,,,,,,,,,,,,,,,
,,"Observer et d'analyser un signal, son spectre et le comportement des filtres",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PROGRAMME,,,,,,,,,,,,,,,,,,,,,,,,
,,"Transformée de Fourier, Laplace et Z.",,,,,,,,,,,,,,,,,,,,,,,,
,,Echantillonnage et restitution des signaux analogiques.,,,,,,,,,,,,,,,,,,,,,,,,
,,Introduction aux processus aléatoires pour le traitement du signal.,,,,,,,,,,,,,,,,,,,,,,,,
,,Corrélation et densité spectrale.,,,,,,,,,,,,,,,,,,,,,,,,
,,Généralités sur le filtrage.,,,,,,,,,,,,,,,,,,,,,,,,
,,Filtrage analogique.,,,,,,,,,,,,,,,,,,,,,,,,
,,Filtres actifs.,,,,,,,,,,,,,,,,,,,,,,,,
,,Filtrage numérique.,,,,,,,,,,,,,,,,,,,,,,,,
,,Structure des filtres numériques.,,,,,,,,,,,,,,,,,,,,,,,,
,,Filtres à réponse impulsionnelle infinie.,,,,,,,,,,,,,,,,,,,,,,,,
,,Filtres à réponse impulsionnelle finie et à phase linéaire.,,,,,,,,,,,,,,,,,,,,,,,,
,,Travaux pratiques analyse spectrale et filtrage,,,,,,,,,,,,,,,,,,,,,,,,
