,,,,,,,,,,,,,,,,,,,,,,,,,
,UE31,Intitulé de l'EC,TC1,Télécommunications 1,,"Propagation filaire et Hertzienne
",,,,,,,,,UE31,Intitulé de l'EC,TC1,Télécommunications 1,,"Propagation filaire et Hertzienne
",,,,,
,Mots-clés,"tangente de pertes, affaiblissement, vitesse de phase et de groupe",,,,,,,,,,,,,Connaissance,Calculs des paramètres primaires et secondaires d'une ligne de transmission,,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,Equations des télégraphistes,,,,,,,,,
Compétence 3,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,1,C,,Mots-clés,"tangente de pertes, affaiblissement, vitesse de phase et de groupe",,,,,,,,,
,Capacité,Savoir évaluer le transfert de puissance sur une ligne et entre des composants hautes fréquences,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Ondes de puissance, coefficients de réflexion/transmission",,,,,,,,,,,,,"Mettre en œuvre les différents éléments de production d’énergie, de transport d’énergie électrique et de conversion d'énergie",,,,,,,,,,
,Mots-clés,paramètres S,,,,,,,,,,,,,Capacité,Savoir évaluer le transfert de puissance sur une ligne et entre des composants hautes fréquences,,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,"Ondes de puissance, coefficients de réflexion/transmission",,,,,,,,,
Compétence 4,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,2,C,,Mots-clés,paramètres S,,,,,,,,,
,Capacité,Utilisation d'outils de simulation radio-fréquences,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Manipulation des échelles décibels,,,,,,,,,,,,,"Concevoir et réaliser des systèmes électroniques pour l'acquisition, le traitement, la commande et la communication de données",,,,,,,,,,
,Connaissance,Formalisme des paramètres S d'un système,,,,,,,,,,,,,Capacité,Utilisation d'outils de simulation radio-fréquences,,,,,,,,,
,Connaissance,Outils de mesure hautes fréquences,,,,,,,,,,,,,Capacité,Manipulation des échelles décibels,,,,,,,,,
,Connaissance,Différents types de lignes de transmission,,,,,,,,,,,,,Connaissance,Formalisme des paramètres S d'un système,,,,,,,,,
,Mots-clés,"ligne bifilaire, coaxiale, microstrip, abaque de Smith, stubs d'adaptation",,,,,,,,,,,,,Connaissance,Outils de mesure hautes fréquences,,,,,,,,,
,,,,,,,,,,,,,,,Connaissance,Différents types de lignes de transmission,,,,,,,,,
,,,,,,,,,,,,,,,Mots-clés,"ligne bifilaire, coaxiale, microstrip, abaque de Smith, stubs d'adaptation",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROGRAMME,,,,,,,,,,
,,,,,,,,,,,,,,,Cours : Généralités sur les transmissions et les systèmes hautes fréquences. Différentes structures de,,,,,,,,,,
,,,,,,,,,,,,,,,lignes. Équations des télégraphistes et solutions. Lignes en régime sinusoïdal. Ligne fermée sur une charge,,,,,,,,,,
,,,,,,,,,,,,,,,(régimes d'ondes). Abaque de Smith. Paramètres S. Dispositifs d'adaptation d'impédances. Ligne en régime,,,,,,,,,,
,,,,,,,,,,,,,,,impulsionnel. Propagation en espace libre. Liaison radio.,,,,,,,,,,
,,,,,,,,,,,,,,,"TD : application ligne bifilaire (ADSL), ligne coaxiale et ligne microstrip.",,,,,,,,,,
,,,,,,,,,,,,,,,"TP : simulation sous ADS de lignes microstrip : adaptation, filtrage.",,,,,,,,,,
