,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,IF3,Informatique 3,,,,,,,,,,,,UE42,Intitulé de l'EC,IF3,Informatique 3,,,,,,,,,
,Capacité,Etre capable d'écrire et tester un programme en langage machine interruptible en environnement de base X86,,,,,,,,,,,,,,Capacité,Etre capable d'écrire et tester un programme en langage machine interruptible en environnement de base X86,,,,,,,,,,,
,Capacité,Etre capable de concevoir et développer des logiciels en Orienté Objet,,,,,,,,,,,,,,Capacité,Etre capable de concevoir et développer des logiciels en Orienté Objet,,,,,,,,,,,
,Capacité,"Etre capable d'observer, d'identifier et d'expérimenter l'exécution d'un programme en langage C++",,,,,,,,,,,,,,Capacité,"Etre capable d'observer, d'identifier et d'expérimenter l'exécution d'un programme en langage C++",,,,,,,,,,,
,Capacité,Etre capable de modéliser les constituants d’un système avec le diagrammes de classe en UML,,,,,,,,,,,,,,Capacité,Etre capable de modéliser les constituants d’un système avec le diagrammes de classe en UML,,,,,,,,,,,
,Capacité,Etre capable d’implémenter une application orientée objet en C++,,,,,,,,,,,,,,Capacité,Etre capable d’implémenter une application orientée objet en C++,,,,,,,,,,,
,Capacité,Etre capable d'écrire et tester un programme en langage C++,,,,,,,,,,,,,,Capacité,Etre capable d'écrire et tester un programme en langage C++,,,,,,,,,,,
,Connaissance,Structure des applications informatiques gérant des interruptions,,,,,,,,,,,,,,Connaissance,Structure des applications informatiques gérant des interruptions,,,,,,,,,,,
,Connaissance,Accès mémoires en environnement segmenté,,,,,,,,,,,,,,Connaissance,Accès mémoires en environnement segmenté,,,,,,,,,,,
,Connaissance,Fonctionnement de la pile sur un processeur,,,,,,,,,,,,,,Connaissance,Fonctionnement de la pile sur un processeur,,,,,,,,,,,
,Connaissance,Principe et fonctionnement des interruptions vectorisées,,,,,,,,,,,,,,Connaissance,Principe et fonctionnement des interruptions vectorisées,,,,,,,,,,,
,Connaissance,Notions de bas sur le fonctionnement et la programmation en langage machine des processeurs compatible X86,,,,,,,,,,,,,,Connaissance,Notions de bas sur le fonctionnement et la programmation en langage machine des processeurs compatible X86,,,,,,,,,,,
,Connaissance,"4 Paradigmes OO : encapsulation, héritage, polymorphisme, généricité",,,,,,,,,,,,,,Connaissance,"4 Paradigmes OO : encapsulation, héritage, polymorphisme, généricité",,,,,,,,,,,
,Connaissance,Langage UML : diagramme de class,,,,,,,,,,,,,,Connaissance,Langage UML : diagramme de class,,,,,,,,,,,
,Connaissance,"Langage C++ : class, operator, std",,,,,,,,,,,,,,Connaissance,"Langage C++ : class, operator, std",,,,,,,,,,,
,Connaissance,Notions sur la compilation et le développement langage C/C++,,,,,,,,,,,,,,Connaissance,Notions sur la compilation et le développement langage C/C++,,,,,,,,,,,
,Connaissance,"Principes fondamentaux des accès mémoires (pile, page et segment)",,,,,,,,,,,,,,Connaissance,"Principes fondamentaux des accès mémoires (pile, page et segment)",,,,,,,,,,,
,Mots-clés,"Langage C/C++, interruption, programmation des processeurs",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Mettre en œuvre des principes et stratégies d’ordonnancements des taches et de gestion,,,,,,,,,,,,
Compétence 3,,Mettre en œuvre des principes et stratégies d’ordonnancements des tâches et de gestion,,,,,,,,,,2,C,,,Capacité,Etre capable de concevoir et développer des logiciels de bas niveau  interruptibles,,,,,,,,,,,
,Capacité,Etre capable de concevoir et développer des logiciels de bas niveau  interruptibles,,,,,,,,,,,,,,Capacité,"Etre capable d'observer, d'identifier et d'expérimenter l'éxécution d'un programme en langage machine avec interruption",,,,,,,,,,,
,Capacité,"Etre capable d'observer, d'identifier et d'expérimenter l'éxécution d'un programme en langage machine avec interruption",,,,,,,,,,,,,,Capacité,Etre capable d'écrire et tester un programme en langage machine interruptible en environnement de base X86,,,,,,,,,,,
,Capacité,Etre capable d'écrire et tester un programme en langage machine interruptible en environnement de base X86,,,,,,,,,,,,,,Connaissance,Structure des applications informatiques gérant des interruptions,,,,,,,,,,,
,Connaissance,Structure des applications informatiques gérant des interruptions,,,,,,,,,,,,,,Connaissance,Principe et fonctionnement des interruptions vectorisées,,,,,,,,,,,
,Connaissance,Principe et fonctionnement des interruptions vectorisées,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PROGRAMME,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétences Mobilisées,, à inclure dans les compétences ci-dessus,,,,,,,,,,,,,,Architecture de base des PC,,,,,,,,,,,,
,,"Etre capable d'analyser, formaliser ou modéliser",,,,,,,,,,,M,,,Architecture des processeurs X86 et compatibles,,,,,,,,,,,,
,,"Etre capable d'observer, d'identifier, de mesurer, d'expérimenter",,,,,,,,,,,M,,,Organisation et gestion des interruptions,,,,,,,,,,,,
,,Savoir utiliser les outils informatiques de l'ingénieur et connaître leurs limites,,,,,,,,,,,M,,,Gestion de la mémoire segmentée,,,,,,,,,,,,
,,Prendre en compte les enjeux énergétiques dans l’optique du développement durable,,,,,,,,,,,M,,,Jeu de registres,,,,,,,,,,,,
,,Prendre en compte les enjeux industriels et économiques,,,,,,,,,,,M,,,Jeu d'instructions,,,,,,,,,,,,
,,Mettre en œuvre les différentes phases de gestion d’un projet,,,,,,,,,,,M,,,Gestion de la pile,,,,,,,,,,,,
,,Savoir analyser et rédiger des documents professionnels,,,,,,,,,,,M,,,Programmation d'une application gérant les interruptions en langage machine en environnement PC de base.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Programmation d'une application gérant les interruptions en langage machine sur un microcontroleur.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Programmation orientée objet, UML, C++",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MOTS-CLES,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Langage C/C++, UML, routine d'interruption, programmation des processeurs",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
