,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,ETEP3,Electronique de puissance et Electrotechnique 3,,,,,,,,,,,,UE42,Intitulé de l'EC,ETEP3,Electronique de puissance et Electrotechnique 3,,,,,,,,,
,Connaissance,Sélection d'une architecture en fonction d'un cahier des charges défini,,,,,,,,,,,,,,Sous-compétence,Mettre en oeuvre les étapes permettant le contrôle d'un convertisseur de puissance,,,,,,,,,,,
,Mots-clés,"hacheurs, onduleurs, conversion statique d'énergie, architecture de convertisseur, analyse système",,,,,,,,,,,,,,Capacité,Analyser des systèmes de variation de vitesse,,,,,,,,,,,
,,,,,,,,,,,,,,,,Capacité,Sélection de bloc fonctionnel pour la commande d'actionneur,,,,,,,,,,,
Compétence 4,,Mettre en oeuvre les étapes permettant le contrôle du fonctionnement d’un système discret ou continu,,,,,,,,,,1,C,,,Connaissance,Connaître certaines modulations pour la commande des onduleurs monophasés et triphasés,,,,,,,,,,,
Sous-compétence,,Mettre en oeuvre les étapes permettant le contrôle d'un convertisseur de puissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Analyser des systèmes de variation de vitesse,,,,,,,,,,,,,,PROGRAMME,,,,,,,,,,,,
,Capacité,Sélection de bloc fonctionnel pour la commande d'actionneur,,,,,,,,,,,,,,Cours et travaux dirigés :,,,,,,,,,,,,
,Connaissance,Connaître certaines modulations pour la commande des onduleurs monophasés et triphasés,,,,,,,,,,,,,,"La conversion DC/DC (hacheurs directs et indirects, connexion entre les sources, ",,,,,,,,,,,,
,Mots-clés,"modulations, commande vectorielle, commande scalaire",,,,,,,,,,,,,,"               alimentations à découpage, structures avec interrupteurs commandés)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,Les composants semi-conducteurs et passifs,,,,,,,,,,,,
,,,,,,,,,,,,,,,,La conversion DC/AC (onduleurs monophasé et triphasé) et les conversions AC/DC et AC/AC,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Pertes dans un convertisseur, commande rapprochée",,,,,,,,,,,,
,,,,,,,,,,,,,,,,Travaux pratiques :,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Cellule de commutation, alimentations à découpage, hacheur à commutation douce, ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,"moteur synchrone auto-piloté, onduleur push-pull, modélisation d'un moteur asynchrone,",,,,,,,,,,,,
,,,,,,,,,,,,,,,, alternateur en régime déséquilibré,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MOTS-CLES,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Composants électroniques passifs et actifs, semi-conducteurs de puissance",,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Dimensionnement, Circuit magnétique, cellule de commutation",,,,,,,,,,,,
,,,,,,,,,,,,,,,,"hacheurs, onduleurs, conversion statique d'énergie, architecture de convertisseur, analyse système",,,,,,,,,,,,
,,,,,,,,,,,,,,,,"modulations, commande vectorielle, commande scalaire",,,,,,,,,,,,
