,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE36,Intitulé de l'EC,ETEP2,Electronique de puissance et Electrotechnique 2,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Système triphasé déséquilibrés, Méthode de Fortescue",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Machine Synchrone, Machine Asynchrone, Schéma équivalent, Transformateur monophasé et triphasé",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,2,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,2,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,2,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,2,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
