,UE,EC,Intitulé,,,Compétences école,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capacités,Connaissances
,,GI-5-RSE-S1,Responsabilité Sociétale de l'Entreprise,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Développement durable, éthique d'entreprise, RSE;Enjeux du développement durable pour l'entreprise"
,,GI-5-KNM-S1,Knowledge management,2,20,,,,,,,,1,M,,,1,,,,1,1,1,M,,,,,1,1,,,M,M,,1,M,,"Distinguer les type de connaissance créées par l'exploitation de l'information et de la communication; Identifier le capital industriel (humain, technologique, organisationnel, informationnel) liés à la gestion des connaissances ; Evaluer les limites des systèmes de gestion des connaissances","Le patrimoine industriel lié aux connaissances ; information, savoirs et connaissances ;  Méthode de gestion des connaissances dans l'industrie, les outils collaboratif de gestion des connaissances ; Les outils numériques de gestion des connaissances ; Stratégies de gestion des connaissances et amélioration continue ; Connaissances et structure technologiques, humaine et organisationnelle  "
,,GI-5-SVE-S1,Stratégie et  veille économique,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GI-5-ERG-S1,Ergonomie,1,16,,,,,,,C,,,,,,,,,,,C,C,C,,,,,C,C,,C,C,C,C,C,,Comprendre l'activité pour adapter et développer des environnements de travail idoines;Identifier les conditions  de bien être et de qualité de vie au travail;Apprendre à repérer les facteurs de Risques Psychosociaux au travail;Diagnostiquer des situations de travail problématiques,
,GI-5-TAI 2A-S1,GI-5-ACH-S1,Achats ,1,16,M,,,1,,2,M,M,,,,,3,,,2,,M,,2,3,,2,2,,,M,,M,,,32,33,"Modéliser le processus de réalisation d’une activité (1,8,13);Assurer une qualité de reporting par la mise en place d’indicateurs pertinents (21) ;Valoriser, protéger et pérenniser le savoir-faire des entités (24) ;Mettre en perspective les connaissances scientifiques avec l'évolution des savoirs et des technologies (18) ;Observer, mesurer, analyser et interpréter une activité ;Définir et appliquer un plan d’actions (20,23,32) ;Conduire collectivement un projet (20) ;Identifier, formaliser et contractualiser les besoins d’un client (23); Suivre leur évolution et valider leur respect (traçabilité des besoins) (8,16,21).","Le positionnement des achats dans l'entreprise : du cahier des charges à l'amélioration continue des fournisseurs;Le processus achat théorique complet.;La définition du besoin, le «make or buy»,de l'appel d'offre à la Notation pondérée et choix de la «meilleure» proposition;La négociation, la contractualisation, l'audit, la Mise en place d'une notation fournisseur et d'un plan d'amélioration continue des achats intra et extra entreprises;Les outils simples et pragmatiques : le SST Sourcing Scoring Tools / la MBA Moins bonne offre admissible / la décomposition des coûts 
Notions : de contrat / Incoterms / utilisation des prestations de service"
,,GI-5-LOG-S1,Organisation et Gestion de la chaine logistique et implantation de systèmes de production,3,28,,,,,,,C,C,C,C,C,C,,C,C,,,,,,,,,,,,,C,C,C,,,,"
Déterminer la Performance de Supply Chain;Identifier la meilleure localisation dans la chaîne d'approvisionnement pour l’usine, l’entrepôt, le hub, etc;Concevoir des réseaux de distribution sous incertitude;Etablir la Prévision de la demande dans une chaîne logistique;Déterminer la planification globale de la chaîne logistique;Identifier des stratégies de La gestion des stocks sous incertitude;Optimiser le Transport et déterminer le routage dans une chaîne d'approvisionnement et de distribution;Optimiser conjointement  transport et  stocks;Equilibrer une ligne d’assemblage;Concevoir un entrepôt;Configurer des cellules manufacturières via la technologie du groupe;Concevoir un système de fabrication intelligent, l'usine de l'avenir;Déterminer des méthodes d’aide à la décision pour la Configuration du système de production dans le contexte de l'Industrie 4.0, de l'Internet des objets Big Data 
",Méthodes de prévision de la demande;Méthodes de planification de la production;Méthodes de gestion des stocks sous incertitude;Méthodes de conception et de configuration de systèmes de production
,,GI-5-LEA-S1,Lean,2,18,,,,,,,C,C,,,C,C,,C,,C,,C,C,,,,,C,C,C,M,M,M,,,M,M,"Mener une démarche de résolution de problèmes et d'exposer la démarche sous la forme d'un poster A3 (16) ; Utiliser le VSM pour cartographier le flux valeur l'état initial et concevoir une cartographie remaniée intégrant les principes de la production au plus juste et de la qualité parfaite (8, 12) ; Identifier les activités à valeur ajoutée et les sources de gaspillages à partir d'étude de cas et de situation réelles (7) ; Définir les actions de progrès à mettre en oeuvre (16, 18) ; Appliquer les outils du Lean (flux continu, flux tiré, SMED, 5S, lissage, arrêt au premier défaut) sur un cas concret (simulation d'atelier de production) (11, 12, 14, 16,18, 19, 30) ; Accompagner les changements de comportements dans les organisations Lean (24, 25)","Les fondamentaux et principes du Lean Manufacturing et du Lean Management: 7 gaspillages, 3M,juste à temps, jidoka, standardisation,...;Les changements de comportements nécessaires dans une transformation Lean;La relation entre la démarche Lean et les autres démarches de l'Excellence Opérationnelle (Six Sigma, TOC);Les outils du Lean (lissage, flux continu, SMED, 5S, 8D, AIC…);Les facteurs clés de succès et pièges à éviter dans l'animation d'une démarche Lean;La méthode du VSM"
,,GI-5-OPA-S1,Optimisation avancée,2,22,M,M,M ,M,M,,,3,,2,1,1,1,2,2,,,,,,,,,,,,,,,,,,,"Méthodologiques : analyser et modéliser formellement les problèmes de planification ou d'ordonnancement de ressources matérielles et / ou humaines ainsi que les problèmes d'aide à la décision mono et multicritères (1, 2, 5, 8) ; Mettre en oeuvre une démarche structurée pour aborder ce type de problèmes (de l'identification à la validation des résultats obtenus) (3, 4, 10, 11, 12, 13, 14, 15) ; Techniques : déterminer la complexité d'un problème et proposer des outils potentiels de résolution (5)",Modélisation d'un programme mathématique;Notions de complexité;Approche mono-critère/multicritères;Méthodes de résolution exactes et approchées
,,GI-5-PRH-S1,Planification des Ressources Humaines ,1,14,,C,,,,,,C,M,,C,,,,,,,,,,,,,,,,,,,,,,,"Evaluer les besoins en ressources humaines (3,5,9) ; Dimensionner le personnel (9) ; Définir les horaires de présence du personnel (3,5,11) ; Planifier les emplois du temps du personnel (3,5,11).",Programmation linéaire entière;Programmation par contraintes ; Méta-heuristiques ; Gestion quantitative des ressources humaines.
,GI-5-PRI 2A-S1,GI-5-PROINDUS-P1-S1,Projet industriel P1,2,24,,,,,,,C,C,C,C,,C,C,,,,,C,C,C,C,C,C,,,,,,,,,,,"Développer les capacités d'observation et d'analyse stratégique d'une organisation,Intégrer les aspects techniques et socio-économiques d'un projet ou d'un processus (de production, de gestion,...),Améliorer les capacités de communication et d'analyse de situation, par une identification précise de l'environnement professionnel, par la multiplication des contacts et des relations de travail dans l'entreprise, etc.

",Organisation industriel;Amélioration continue;Analyse de donnée de production et dimensionnement du système;Sourcing et réapprovisionnement des matières 
,,GI-5-PROINDUS-P2-S1,Projet industriel P2,2,24,,,,,,,C,C,C,C,,C,C,,,,,C,C,C,C,C,C,,,,,,,,,,,,
,GI-5-EPS-S1,EPS-5-S1,EPS,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMESTRE 10,GI-5-PFE-S2,GI-5-PFE-S2,Projet de Fin d'Etudes,30,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,3,3,3,M,M,M,2,3,M,3,3,3,3,"Réaliser un travail personnel en situation professionnelle, en résolvant une problématique industrielle et/ou scientifique,Analyser une situation et la problématiser,Atteindre les objectifs et/ou livrables attendus,Développer autonomie, imagination, curiosité,  rigueur scientifique et  responsabilité,Travailler en équipe,Appliquer les connaissances et compétences acquises au cours de la scolarité
",Retour d’expérience;Fonctionnement des organisations;Connaissance de soi
