,,GI-4-PSF-S1,Simulation de flux (Projet),2,22,3,3,3,,M,1,2,3,3,2,,,,,2,,,,,,,,,,,,,,M,,,,,"Appliquer une démarche « projet de simulation » (1,2,3,6,7,8,9,10,15); Tracer les flux (1,2,7,9); Analyser les flux moyens (1,2,7,9,10); Trouver le goulot d’étranglement (1,2,7,9,10); Rendre les stocks fonctionnels (1,2,7,9,10,15);Dimensionner une chaîne de production (1,2,7,9,10,15); Proposer des modifications pour optimiser les flux (1,2,7,9,10,15); Mettre en œuvre une démarche expérimentale pour valider les  modifications proposées (3)","Comportement physique d'une chaîne d' Actionneurs et  de Capteurs () ; Lois de distribution de variables aléatoires, comportement stochastiques de flux discrets () ; Condition du régime permanent et instabilité ()."
,GI-4-HU EPS-S1,HU-L-ANG-4-S1,1ère langue - Anglais,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HU-L-LV2-S1,2ème Langue,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HU-SHS-4-S1,SHS,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EPS-4-S1,EPS,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GI-4-INFO-S1,GI-4-IHM-S1,Interactions Homme machine,2,22,,,,,,,3,3,3,,,,,,,,,,,M,,,3,,,,,M,M,3,,,,"Savoir appliquer une méthode centrée utilisateur pour concevoir un système interactif (2,23) ; Savoir faire la critique ergonomique d'un système interactif (9); Développer sa créativité pour répondre à  un besoin d'innovation technologique (30)","Connaître les méthodes et outils nécessaires à la conception de systèmes interactifs (2,7,8,9) ;Paradigmes d'interactions innovants (30); Méthodes et modèles pour la conception d'IHM (7,8,9);  Analyse des besoins utilisateurs (23); Modélisation de l'activité (7,23); Sketching et prototypage de systèmes interactifs (9,30); Critères d'ergonomie pour la conception d'IHM (8,9); Méthodes d'évaluation des IHM (9,23)"
,,GI-4-ADD-S1,Analyse de données ,2,20,M,M,2,,3,3,3,,M,,M,,,,,,1,M,,,,M,,,,,,2,3,,M,,,"S'approprier des outils de traitement des données structurée (Excel et xlstat) (9,10,11) ; Savoir prendre une décision sur la base de résultats numériques (7) ; Choisir une méthode de traitement en fonction des données et des objectifs (1,2,3,5,7)",Méthodologies de pré-traitement sur les données;Méthodologies d'analyse des données : segmentation ; Classification ; Visualisation ; Indicateurs de qualité des résultats
,,GI-4-EDD-S1,Entrepôt de données ,3,34,2,,,2,2,,C,C,C,,,,,,,,,,,M,,,M,,,,,M,,,M,,,"Collecter les besoins du client en matière d'analyse (7,23); Identifier les sources de données de production utiles pour une démarche analytique (2,9); Traiter des informations volumineuses en vue de leur analyse (2); Exploiter les données dans la perspective de l'activité analysée (7);Mener un projet à bien, en travaillant en groupe (28,31)","Le fonctionnement des techniques de fouille de processus: construction d'un réseau de Petri à partir de traces d'activité, analyse de conformité d'un modèle, analyse de performance du système. 
La structure d'un système d'information distribué structuré autour de processus, tel que l'ERP Odoo et l'analyse des performances d'un tel système à l'aide d'outils de fouille de processus."
,,GI-4-SID-S1,Systèmes d'informations distribués,3,34,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,C,C,,,,,"Concevoir et développer une application distribuée permettant le stockage, l'accès à distance et la visualisation de données associées à la réalisation de processus (5,7) ; Analyser les performances des processus à partir des traces générées par le système d'information (6,8) en utilisant des outils de fouille de processus; réaliser un travail en équipe (19, 21, 28).",Architecture d'applications basée sur les services Web;Modèle-Vue-Controleur;Protocole HTTP;Serveur d'application;Service Web REST;Format d'échange de données
,GI-4-PCO-S1,GI-4-GEP-S1,Gestion de projets ,1,18,,,,,,,,,,,,,,,,,,,,C,C,C,C,,,,,,,,,C,,"Définir, planifier, gérer et maîtriser le contenu d'un projet (PBS, WBS);Planifier le déroulement d'un projet en tenant compte des contraintes de ressource et des incertitudes (PERT, Gantt, méthode de la chaîne critique, MS Project);Assurer le suivi d'un projet en rendant compte des écarts par rapport à la planification initiale, avec des indicateurs et tableaux de bord pertinents;Etablir un budget, suivre et maîtriser les coûts ;Identifier, analyser et maîtriser les risques génériques, calendaires et financiers du projet",Les différents types d'organisation projet;Les processus mis en œuvre dans la conduite de projet
,,GI-4-PCO-S1,Projets collectifs ,5,64,C,C,C,C ,,C,C,C,C,C,,,,,,C,,C,,C,C,C,C,M,C,,C,C,C,M,C,C,M,"Mettre en oeuvre les outils du management (21,22,23) ; Apprendre à conduire collectivement un projet réel : organisation collective du groupe, communication, animation, coordination (20, 21) ; Appliquer avec rigueur une démarche structurée, cohérente et pertinente de conception d'une solution industrielle en intégrant les facteurs de performance  : Risques + Coûts + Qualité + Usage (6, 7, 8, 9, 10, 16, 22, 23) ; Collecter, extraire, structurer et analyser les informations (7, 17) ; Evaluer ses forces et ses limites, mener une négociation;Etre force de proposition (27, 29, 32) ; Analyser dans une approche globale, de façon systémique, une entreprise, une organisation, un projet, un problème (18, 25, 32).","Outils et méthodes :gestion de projets, d'ingénierie système, de Management de la Qualité, de communication.
"
SEMESTRE 8,GI-4-GOP-S2,GI-4-ROP-S2,Recherche opérationnelle,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reconnaître un problème de graphe ;
Modéliser un problème d'optimisation comme un problème de graphe;
Évaluer la complexité d'un algorithme.
","Bases de la théorie des Graphes ;
Bases de la théorie de la complexité ; 
Bases de la recherche opérationnelle ;
Représentations d'un graphe ;
Connexité, composantes connexes ;
Plus court chemin et plus long chemin ;
Couplage maximum ;
Flot maximum.
"
,,GI-4-GPR-S2,Gestion de production (projet),2,32,2,2,2,,,2,M,3,3,2,2,,,M,,M,,,,M,M,M,,,,,,M,M,2,,,,- Modéliser un problème d'optimisation comme un problème de graphe;,"SAP ERP (structure, concepts, applications);Données de base nécessaires aux processus de planification de production et de vente (client, article, nomenclature, poste de travail, gamme, centre de coût);Processus de planification et d'exécution de la production (gestion sur prévision, assemblage à la commande);Processus de traitement de commande client"
,GI-4-PEP-S2,GI-4-MES-S2,MES (Projet),2,32,C,C,C,C,,M,C,C,C,,C,,,,,C,,,,M,,,M,,,,,M,M,,,,,- Évaluer la complexité d'un algorithme.,"Fonctions du MES (6, 8), analyse de performance et TRS (7, 16), traçabilité de production (7), pilotage de l’exécution de la production (7, 11)."
,,GI-4-QMA-S2,Qualité - Maintenance ,2,26,,2,1,,2,,2,,,,2,,,,,2,,,,1,,,,,,,,,,,,,,"Comprendre les enjeux et outils de la qualité (système qualité et outils de la qualité) et de la maintenance (impact de l'organisation de la maintenance sur les autres fonctions de l'entreprise) (3,7,16,20).
Comprendre l'utilité et le fonctionnement de certains outils (carte de contrôle, Gage R&R, fiabilité, etc.) (2,5,11).","Six Sigma, Maîtrise Statistique des Processus (MSP);Total Productive Maintenance (TPM), fiabilité"
,GI-4 HU EPS-S2,GI-4-BCG-S2,Budget et contrôle de gestion ,1,22,,,,,,,C,,,,,,,,,,C,C,C,,,,,,,,,,,,,,,"Elaborer des budgets (entreprise, par service, mensuel ou annuel); Calculer des coûts de revient(seuil de rentabilité, coûts direcst et coûts indirects, coûts complets); Analyser des écarts afin de faire des re-prévisions.","Contrôle de gestion: budgets, couts de revient, seuil de rentabilite"
,,GI-4-ASO-S2,Analyse sociologique des organisations,1,14,,,,,,,,,,,,,,,,,,,,,,C,,C,C,,,,M,,M,M,,"Connaître et maîtriser les principales notions en analyse sociologique des organisations (ASO) ;Diagnostiquer une situation de dysfonctionnement organisationnel, en comprendre les motifs, proposer des pistes d'action argumentées ;Observer, comprendre, interpréter des situations sociales et en rendre compte dans un rapport écrit.",
,,EPS-4-S2,EPS,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GI-4-INR-S2,Initiation à la recherche,1,10,,,,,,1,M,,,,,,,,,,M,,1,M,,M,,,,,,M,M,1,,,M,"Développer une démarche de questionnement scientifique sur une problématique de recherche
",Dispositifs et acteurs de la recherche en France et la place des ingénieurs - docteurs;Problématiques de recherche en génie industriel
,GI-4-PCO-S2,GI-4-PCO-S2,Projets collectifs ,3,52,C,C,C,C,,C,C,C,C,C,,,,,,C,,C,,C,C,C,C,M,C,,C,C,C,M,C,C,M,"Mettre en oeuvre les outils du management (21,22,23) ; Apprendre à conduire collectivement un projet réel : organisation collective du groupe, communication, animation, coordination (20, 21) ; Appliquer avec rigueur une démarche structurée, cohérente et pertinente de conception d'une solution industrielle en intégrant les facteurs de performance  : Risques + Coûts + Qualité + Usage (6, 7, 8, 9, 10, 16, 22, 23) ; Collecter, extraire, structurer et analyser les informations (7, 17) ; Evaluer ses forces et ses limites, mener une négociation;Etre force de proposition (27, 29, 32) ; Analyser dans une approche globale, de façon systémique, une entreprise, une organisation, un projet, un problème (18, 25, 32).","Outils et méthodes :gestion de projets, d'ingénierie système, de Management de la Qualité, de communication.
"
,GI-4-STI-S2,GI-4-STI-S2,Stage industriel,15,,,,,,,,C,M,M,M,C,M,M,M,M,C,C,M,M,,M,C,M,M,C,M,C,C,C,M,C,C,M,Oberver et analyser la stratégie d'une entité;Communiquer à l'oral et à l'écrit;Analyser une situation,Retour d'expérience;Fonctionnement sociotechnique des organisations.
