,UE,EC,Intitulé,,,Compétences école,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capacités,Connaissances
,,GI-3-MOC -S1,Modélisation et conception orientée objets,2,36,2,2,,2,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,,,"Identifier et formaliser les exigences client (8,23);Raffiner les exigences en séquences, activités (1,2,4);Construire un diagramme état/transition (8);Construire les algorithmes des méthodes de classes (8);Déclarer, instancier et utiliser un objet en Java (9);Coder une classe JAVA à partir de son diagramme de classe (9)","Notion de classes, d'instances, de méthodes (1, 2, 4, 8);Mécanismes d'encapsulation, d'héritage et de polymorphisme (1, 2, 4, 8); Les diagrammes UML en général (1, 2, 4, 8) ;Les cas d'utilisation et le diagramme de séquence (1,2,4,8,23);Le diagramme d'activité et le diagramme d'états;Les outils associés (1,2,4,8);"
,,GI-3-ARO-S1,Architecture des ordinateurs et systèmes d'exploitation,1,14,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,M,M,,,,,"Choisir les caractéristiques techniques d'un matériel informatique en fonction des besoins hardware et software (4,10);Utiliser les systèmes d'exploitation standards et optimiser la gestion des ressources (10);Identifier des ressources partagées par des processus et les synchroniser (5,8)","Mémoires (4);CPU / langage machine (4);Communication du matériel (4);Principes clés des systèmes d'exploitation (gestion de la mémoire et des fichiers, pilotes) (4,10);Programmation concurrente et synchronisation des processus (5,8)"
,GI-3-MECA-S1,GI-3-CNU-S1,Commande numérique ,1,18,,,2,,,1,,,,1,,2,,,,,,,2,,,,,,,,,,,,,,,"Comprendre les enjeux de la CFAO (10, 12);Appréhender les enjeux économiques des stratégies d'usinage(10,12,19)",Architecture d'une MOCN;Architecture du directeur de commande;Le langage de CN ISO;Autres méthodes d'usinage
,,GI-3-ANF-S1,Analyse de fabrication       ,2,40,1,,3,,,3,,2,1,,,3,,,,,,,2,,,,,,,,,2,,,,,,"Concevoir une gamme de fabrication mécanique en choisissant un brut adapté,  en concevant un moule métallique, en respectant les contraintes géométriques,en  tenant compte des contraintes économiques, en  prenant en compte les capabilités machines (8,9,12,19)",Conception du moule;Contraintes d'antériorités en usinage;Isostatisme;Paramètres de coupe
,,GI-3-PEX-S1,Plan d'expérience ,1,14,,3,3,,,,3,,,,,,,,,1,,,,M,1,,,,,,,M,,,,,,"Proposer la planification des essais à conduire (2,3),Réaliser les mesures (7,20);Construire un outil de calcul pour traiter un plan d'expériences (3);Analyser les résultats obtenus (facteurs influents et modèle) (3,7);Trouver une condition optimale de réglage (3,16) ","Mise en place d'une organisation optimale d'expérimentation (2);Modèle de régression et prédicteur mathématique (2,28);Modèle statistique associé à l'analyse de variance (2,28);Mise en œuvre d'un plan d'expériences (16)"
,,GI-3-MPI-S1,Matériaux pour l'ingénieur,3,44,,,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,Décrire et expliquer les principales propriétés mécaniques des grandes classes de matériaux;Utiliser une méthode de sélection des matériaux pour des applications précises en tenant compte des performances attendues,Familles de matériaux et principales caractéristiques mécaniques des métaux et des composites;Notions sur les céramiques et les polymères;Rupture des matériaux;Aide au choix des matériaux (méthode des indices de performance).
,,GI-3-RDM-S1,Résistance des matériaux ,2,32,,,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,Dimensionner une pièce mécanique (poutre) et identifier les sollicitations et contraintes;Déterminer le torseur de cohésion dans un solide;Déterminer la répartition des contraintes dans une section droite;Vérifier la résistance mécanique d’une poutre;Déterminer l’équation de la flèche dans une poutre soumise à de la flexion,"Comportement du solide déformable: sollicitations (flexion simple, torsion simple, traction–compression, cisaillement), contraintes, déformations, torseur de cohésion, coefficient de sécurité, résistance mécanique."
,GI-3-HU EPS-S1,GI-3-COM-S1,"Théâtre, sciences humaines et communication",1,16,1,,,,,1,,,,,,,,,,,,,,2,,,,,,,1,2,2,1,M,,M,"Identifier ses modes de fonctionnement (27); Donner du sens à ses apprentissages (27); Mobiliser ses ressources en s'adaptant à différentes situations (28); Acquérir par soi-même de nouvelles compétences en allant rechercher les ressources nécessaires (28); Exercer son esprit critique, penser par soi-même (28); Communiquer de manière appropriée (6,29); Situer son discours, original, par des références explicitées (29); Communiquer de manière non verbale (29); S'intégrer dans un groupe, se positionner, construire une relation dynamique au groupe (20,29); S'engager dans un projet collectif (20,29); Mobiliser ses acquis et puiser dans divers domaines pour produire une création originale, artistique (30); Problématiser, organiser et mener une recherche en sciences humaines (1,30); Pour les groupes d'anglais A et B : Communiquer en langue étrangère (33); Intégrer la diversité culturelle dans un travail en groupe (33)","Les grandes notions de la pratique théâtrale pour une prise de parole en public (regard, corps, voix, argumentation) (27,28,29,30)"
,,EPS-3-S1,EPS ,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HU-L-ANG-3-S1,1ère langue - Anglais,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HU-LV2-S1,2ème langue,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMESTRE 6,GI-3-AUTOM-S2,GI-3-CSL-S2,Commande de systèmes linéaires,3,36,,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,C,C,,,,,"Etudier la stabilité d'un système;Déterminer les paramètres de performance du système et les comparer aux caractéristiques du Cahier des Charges;Synthétiser un contrôleur;Simuler un système dynamique et son contrôleur;Commander un système physique expérimentalement
","La notion de stabilité d'un système;Les notions de performances;Les correcteurs simple entrée simple sortie
"
,,GI-3-CSR-S2,Projet commande d'un système robotisé ,2,24,,,,,,,,C,C,C,,,,,,,,,,C,,,,,,,,M,C,,,,,"Établir un avant projet de l'asservissement en position d'un système robotisé: dimensionnement mécanique et électrique,environnement, capteurs et acquisition de l'information, algorithmes de commande, comportement global du système;Gérer un projet","Résistance des Matériaux (modèle poutre);Asservissement, régulation, PID."
,,GI-3-SED-S2,Systèmes à événements discrets,3,52,,,,,,,,C,C,C,,,,C,C,,,,,,,,C,,,,,C,,,,,,Exploiter d'un cahier des Charges ();Appréhender un système au travers des paradigmes production/consommation et client/serveur ();Dimensionner et évaluer les performances en régime permanent ();Etablir des propriétés et vérification des hypothèses ().,"Espace d'états discrets fini ou non-fini ();Commutation d'états stables ();Réseaux de Petri ();Notion de comportements déterministes ou aléatoires();Indicateurs de performances();Identification et Vérification des hypothèses ();Modèles markoviens, Réseaux de File d'Attente ()"
,GI-3-INFO-S2,GI-3-BDD-S2,Base de données ,3,52,2,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"Concevoir un modèle E/A (1,5,8);Traduire un modèle E/A en modèle relationnel normalisé (1,5,8);Ecrire une requête à l'aide de l'algèbre relationnelle (2,5);Interroger une base de données relationnelle à l'aide de requêtes SQL (2,5);Créer un document XML bien formé à partir d'une DTD (1);Transformer un document XML à l'aide du langage XSLT (5)","Architecture des SGBD (1,8); Modèle Entité/Association (1,8);Notions de dépendances fonctionnelles, multivaluées (1,8) ;Fermeture transitive (1,8);Couverture minimale (1,8);Formes normales : Relations en 1NF, 2NF, 3NF, Boyce Codd, 4NF (1,8); Structure d'un document XML (1); HTML/CSS (8);DTD (Document Type Définition) (1,8);Langage XSLT (2)
"
,,GI-3-MAC-S2,Méthodologie d'Analyse et de Conception ,2,28,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,"Concevoir un modèle fonctionnel et/ou un modèle physique d'un système de production  (5,8);Spécifier un système d'information (5,8);Identifier et détailler les processus d'un système (5,8)","Modèle IDEF0 (normes IEEE 1320.1-1998);Langage de modélisation de données IDEF1X;Outils ARIS : Organigramme des acteurs, Supports des données échangées entre les acteurs;Diagramme des processus issus des flux de données;Chaînes évènementielles des processus"
,,GI-3-ADM-S2,Aide à la décision mono critère ,1,16,,C,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,"Spécifier un programme linéaire à partir de la description d'un existant déterministe (3,5);Concevoir un outil d'aide à la décision monocritère pour le pilotage d'un processus de production sous contraintes de ressources cumulatives (9,11)  ",Programmation linéaire;Simulation de scénarios;Utilisation du solveur d'EXCEL pour l'aide à la décision
,,GI-3-CSI-S2,Conception d'un système d'information ,2,24,,,,C,,,,M,C,,,,,,,,,,,C,,,,,,,,,C,,,,,"Modéliser un existant (8);Concevoir un système cible (8,9);Rédiger un cahier des charges (8);Travailler en groupe projet (29,20).",Réingénierie des systèmes de production à l'aide de la plateforme ARIS;Initiation à la gestion de projet
,GI-3-MECA-S2,GI-3-CSM-S2,Conception de systèmes mécaniques et technologie ,2,36,,,3,3,,,,,3,,,,,,,,,2,,,M,,,,,,M,,,,M,,,"Identifier des efforts et des sollicitations en isolant les pièces (3);Dimensionner à la fatigue (courbes de Wöhler, théorie de Miner) (3,9);Dimensionner des liaisons avec calcul de tolérances (3,9);Dimensionner de composants (roulements, vis) (3,9);Imaginer les phénomènes d'interaction mécanique entre les éléments constitutifs d'un mécanisme (4,21,31)
","Les  technologies classiques et élémentaires d'actionnement mécanique (entrainement par frottement, électromagnétique, hydraulique) (4,18,31);Les principes de fonctionnement de mécanismes de sécurité (frein, embrayage, ressorts, ...) (4,18,27,31);Les ordres de grandeur des caractéristiques mécaniques (raideurs, efforts, frottement, ...) (4,21)
"
,,GI-3-INS-S2,Ingénierie Systèmes,1,10,,,,,,,,C,,C,,,,,,,,,,,,,C,,,,,M,M,M,C,,,"Modéliser un système (1,3,5,8)","Connaître l'Ingénierie Système (3,5,8);Connaître ses outils (SysML) (3,5,8)"
,,GI-3-CMP-S2,Conception de machines de production ,2,32,1,,2,3,,2,,3,,3,,,,,,3,,3,,3,3,2,2,,,,,,2,1,,,,"Gérer un projet;Respecter des normes, des coûts et des délais;Dimensionner un bâti mécano soudé;Dimensionner paliers,  courroies;Dimensionner un arbre en statique et en dynamique",Fiabilité générale d'un mécanisme;Calculs de roulements
,GI-3-HU EPS -S2,GI-3-DFI-S2,Entreprise et diagnostic financier,1,20,,,,,,,C,,,,,,,,,,C,C,C,,,,,,,,,,,,,,,"Repérer les principales fonctions  entreprise industrielle, leurs logiques de fonctionnement et leurs modes de management;Caractériser les relations de l'entreprise avec son environnement ;Comprendre et lire les comptes d'une entreprise, en analyser l'évolution, en évaluer les forces et les faiblesses",Diagnostic financier (activité et structure financière);Notion de risques;Moyens de financement;Notation des entreprises
,,GI-3-RED-S2,Initiation à la recherche documentaire,2,18,M,,,,M,3,,,,,,,,,,,3,M,3,M,,,M,,1,M,,3,3,M,2,,M,"Rechercher de l'information scientifique et technique;Qualifier l'information, produire une note de synthèse;Collaborer à distance
",Sources et type d'information scientifique et technique ();Structuration des documents de synthèse ();Règles de citation ();Critères d'évaluation de l'information()
,,GI-3-COM-S2,"Théâtre, sciences humaines et communication",1,16,1,,,,,1,,,,,,,,,,,,,,2,,,,,,,1,2,2,1,M,,M,"Identifier ses modes de fonctionnement (27); Donner du sens à ses apprentissages (27); Mobiliser ses ressources en s'adaptant à différentes situations (28); Acquérir par soi-même de nouvelles compétences en allant rechercher les ressources nécessaires (28); Exercer son esprit critique, penser par soi-même (28); Communiquer de manière appropriée (6,29); Situer son discours, original, par des références explicitées (29); Communiquer de manière non verbale (29); S'intégrer dans un groupe, se positionner, construire une relation dynamique au groupe (20,29); S'engager dans un projet collectif (20,29); Mobiliser ses acquis et puiser dans divers domaines pour produire une création originale, artistique (30); Problématiser, organiser et mener une recherche en sciences humaines (1,30); Pour les groupes d'anglais A et B : Communiquer en langue étrangère (33); Intégrer la diversité culturelle dans un travail en groupe (33)","Les grandes notions de la pratique théâtrale pour une prise de parole en public (regard, corps, voix, argumentation) (27,28,29,30)"
,,EPS-3-S2,EPS ,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HU-L-ANG-3-S2,1ère langue - Anglais,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HU-LV2-S2,2ème langue,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
