,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE42,Intitulé de l'EC,IF3,Informatique 3,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable d'écrire et tester un programme en langage C,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Structure des applications informatiques gérant des interruptions,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Principe et fonctionnement des interruptions vectorisées,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Notions de bas sur le fonctionnement et la programmation en langage C des microcontroleur,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Notions sur la compilation et le développement langage C,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Langage C, interruption, programmation des processeurs",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en œuvre des principes et stratégies d’ordonnancements des tâches et de gestion,,,,,,,,,,2,C,,,,,,,,,,,,,,,
,Capacité,Etre capable de concevoir et développer des logiciels de bas niveau  interruptibles,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Etre capable d'observer, d'identifier et d'expérimenter l'éxécution d'un programme en langage machine avec interruption",,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Etre capable d'écrire et tester un programme en langage C sur un microcontroleur,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Structure des applications informatiques gérant des interruptions,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Principe et fonctionnement des interruptions vectorisées,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,"Langage C, routine d'interuption, architecture des microcontroleurs, programmation des processeurs",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,1,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,2,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,1,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,2,M,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se connaître, se gérer physiquement et mentalement",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Faire preuve de créativité, innover, entreprendre",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Travailler dans un contexte international et interculturel ,,,,,,,,,,,,,,,,,,,,,,,,,,
