LV-SHS-EPS,,,,Compétences Ecoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Titre EC

Niveaux :
- 1 : sensibilisation
- 2 : appropriation
- 3 : maîtrise",EC (2016),ECTS,UE,A1. Analyser un système (réél ou virtuel),A2. Exploiter un modèle d'un système réél ou virtuel,A3. Mettre en œuvre une démarche expérimentale,A4. Concevoir un système répondant à un cahier des charges,A5. Traiter des données,A6 - Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité,C1. Appliquer une démarche scientifique (hypothético-déductive) pour traduire et résoudre une problématique biologique,"C2. Concevoir, adapter et optimiser des plans d'expériences en Biosciences","C3. Collecter, stocker et organiser des données biologiques obtenues in vivo, in vitro et in silico y compris massive (big data)",C4. Mettre en œuvre des outils d'analyse pour la biologie à haut débit,"C5. Quantifier, caractériser structurellement et purifier des biomolécules",C6. Mesurer et évaluer l'impact de nouveaux produits de santé ou de méthodes diagnostiques,"C7. Manipuler des cultures cellulaires, des microorganismes ou des animaux de laboratoire",C8. Utiliser les principales techniques d'exploration des fonctions biologiques,C9. Choisir et mettre en œuvre des outils statistiques adaptés aux et à une problématique biologique,C10. Apprécier les limites de validité d'un modèle et identifier les sources de variabilité et d'incertitudes,C11. Modéliser et interpréter des données biologiques pour comprendre les processus sous-jacents,C12. Automatiser le traitement et l'extraction de connaissances à partir de données biologiques.,C13. Comprendre le référentiel d'assurance qualité et de la réglementation dans le domaine des biotechnologies,C14. Développer et valider des procédés de fabrication en biotechnologies,C15. Contribuer à des études environnementales en y apportant la composante biologique et évolutive,"B1. Se connaître, se gérer physiquement et mentalement","B2. Travailler, apprendre, évoluer de manière autonome","B3. Intéragir avec les autres, travailler en équipe","B4. Faire preuve de créativité, innover, entreprendre",B5. Agir de manière responsable dans un monde complexe,"B6. Se situer, travailler, évoluer dans une entreprise, une organisation socioproductive",B7. Travailler dans un contexte international et interculturel,"Capacités 
(être capable de...)","Connaissances 
(savoir, connaître...)",Fiche ECTS actuelle,Fiche ECTS future
Langue Vivante II,HU-L-... à choix (LV2),2,BS-BB-3-HUMA_S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"En fonction du niveau suivi pendant l'année par l'étudiant ,les objectifs indiqués ci-dessous doivent permettre d'atteindre le niveau défini sur l'échelle CECRL (Cadre Européen de Référence pour les Langues du Conseil de l'Europe) dans les 5 compétences suivantes: compréhension de l'oral, production orale, interaction, compréhension de l¿écrit et production écrite.

- Pour les étudiants qui commencent l'étude d'une langue: Il s'agit d'acquérir les bases de la langue choisie dans le domaine des cinq compétences mentionnées ci-dessus: Niveau A1. 

- Pour les étudiants ayant déjà acquis le niveau A1 dans la langue choisie: Il s'agit de perfectionner les connaissances et d'améliorer les capacités dans le domaine des cinq compétences mentionnées ci-dessus: Niveau A2.

- Pour les étudiants ayant déjà acquis le niveau A2 dans la langue choisie: Il s'agit d'arriver à la maîtrise de la langue dans le domaine des cinq compétences mentionnées ci-dessus: Niveau B1.

- Pour les étudiants ayant acquis le niveau B2 voire B1 : Il est possible de suivre un module thématique (de civilisation, technique, culturel,,professionnel...) afin de parfaire le niveau des compétences acquises, ou un module linguistique pour préparer :
- Niveau B2","Cet EC mobilise les compétences ci-dessous (niveau) et les capacités associés








Les connaissances associées à l'EC cours sont :
"
Economie d'Entreprise,BS-3-ECOENT.S1,1,BS-BB-3-HUMA_S1,,,,,,,,,,,,,,,,,,,,,,,M,M,2,2,2,,"Repérer et analyser les principes d’organisation et le fonctionnement d’une entreprise ou d’une autre organisation socio-productive, notamment dans les secteurs liés aux sciences du vivant (24, 25, 28.1); Analyser le contexte économique, industriel, stratégique et humain de l’organisation pour prendre des décisions professionnelles adaptées (24, 25, 28.2); Appréhender les enjeux complexes (dans l'entreprise et dans la société) qui se présentent à l'ingénieur (24, 25, 27.1); Identifier, évaluer et anticiper les conséquences de ses actions et décisions à différents niveaux d'échelle (24, 25, 27.2); Innover dans l’entreprise ou dans un cadre non marchand (24, 25, 26)","Economie d'entreprise (24, 25, 26, 27, 28); Economie industrielle (24, 25, 26, 27, 28); Economie de l'innovation (24, 25, 26, 27, 28)","Le module contribue à l'acquisition de 4 compétences principales 1) Repérer et analyser les principes d'organisation et le fonctionnement d'une entreprise ou d'une autre organisation socio-productive, notamment dans les secteurs liés aux sciences du vivant; 2) Analyser le contexte économique, industriel, stratégique et humain de l'organisation pour prendre des décisions professionnelles adaptées ; 3) Innover dans l'entreprise ou dans un cadre non marchand ; 4) Agir de manière responsable dans un monde complexe","Cet EC mobilise les compétences ci-dessous (niveau) et les capacités associés








Les connaissances associées à l'EC cours sont :
"
EPS,EPS-3-S1,1,BS-BB-3-HUMA_S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Situer son niveau de pratique à travers une activité physique, sportive et artistique APSA choisie Mobiliser ses ressources  pour se préparer  à une épreuve sportive ou artistique: la réaliser, se surpasser, Construire et diriger un échauffement spécifique à l'APSA S'approprier les méthodes de récupération, Etre capable de se fixer des objectifs de progrès Acquérir une gestuelle propre à chacune des APSA (coordination, équilibre, adaptation aux situations motrices…) [1] ; Proposer des solutions par l'action dans les situations sportives, S’engager dans une réflexion avant/ pendant et après l’action, S’approprier (connaitre et comprendre) les principes liés aux APSA pour s'adapter aux situations sportives. S’engager dans des tâches nouvelles (arbitrage, co observateur, capitaine, Identifier et mobiliser ses ressources disponibles pour répondre à une situation [2] ; Prendre en compte les spécificités de chacun et les éléments du contexte pour adapter son message, Transmettre une information claire et compréhensible par le plus grand nombre. Communiquer, échanger pour parvenir à un consensus et déterminer une stratégie d'action  S’appuyer sur son vécu et/ou  ses connaissances pour faire des propositions et débattre, Adopter les gestes et/ou les postures, appropriés à la situation  et faire part de son intention. Manifester de l’intérêt pour les autres, et le projet du groupe Adapter ses actions en prenant en compte les niveaux de chacun pour obtenir la meilleure performance du groupe. Identifier les causes du conflit et proposer des réponses constructives. Acceptation les erreurs de chacun . Apporter de la reconnaissance à l’engagement personnel. Participer activement, s’investir pour faire progresser le groupe, l’équipe [3] ; Créer et représenter une création singulière en assumant une prise de risque dans les choix personnels opérés Développer sa créativité : - Devenir concepteur, créateur d’un projet individuel et collectif artistique - Explorer, inventer, transformer, improviser, innover, Développer la dynamique de l’imaginaire : Mobiliser son imaginaire, sa sensibilité et les rendre lisibles, Faire l'expérience de la dimension poétique et esthétique du corp, Se raconter, ré -véler ses états et ses pensées et les partagées S'approprier les concepts du réel et de la symbolique du corps, Déterminer différentes étapes dans le process créatif pour accéder à une création originale et singulière. Expérimenter, explorer, écriture/ réalisation/ conception, Construire un corps, un esprit créatif/artistique : sensible, symbolique, vécu [4] ; Faire preuve de  fair play dans  le rapport de force Respecter et faire respecter des règles, Construire un esprit critique, Gérer son effort en fonction de son état de santé et ses objectifs de progrès, et de performances., Réduire les incertitudes dans les situations complexes (surnombre, type de défense, grimper en tête, représentation devant un public), Mettre en œuvre les consignes de sécurité [5] ; Identifier les effets sur chaque membre de l’équipe de l’attribution des rôles, des missions et des modes de communication et de prise de décision [6] ; Relativiser ses valeurs, croyances et comportements pour s’ouvrir et s’enrichir Organiser des équipes ou binômes interculturels Observer les atouts des managers multiculturels [7]","Connaitre les critères d'évaluation . Les critères de réalisation et réussite ; Savoir observer et s'observer, co évaluer ; Identifier les sources motivationnelles ( intrinsèques et extrinsèques ) et savoir les activer ; Connaissances des principes de l'APSA pour s'entrainer et s'améliorer ; Identifier les paramètres de ses choix  sportifs ( confort ou inconfort) ; Connaître les principes d'action inhérents à l'APSA[1] ; Etre capable de verbaliser en partie l'analyse de l'action ; Connaitre les principes d'actions, être capable de les citer ; Connaitre les règles propres à l'APSA ; Etre capable d’observer les autres, les situations, poser des questions pertinentes. Répondre aux questions : qu’ai-je appris de plus sur moi, sur les autres, qu’est-ce que la situation sportive m’apporte [2] ; Connaître la terminologie adaptée aux APSA [1] Connaitre et prendre en compte  les points forts/ faibles  de chacun  pour que chacun trouve sa place ds le groupe. Connaître les différentes formes d'organisation  pour faire évoluer le projet collectif [3] Connaitre les paramètres du geste artistique ( espace temps énergie) Connaitre les principe des temps de recherche, des modes de compositions et de représentation Structurer son imaginaire. Trouver la parole juste avec son corps, utiliser les outils de distorsion pour travailler sur les qualités du geste artistique. Evaluer la valeur technique et artistique d'une création Connaitre ses limites [4] Connaitre les règles Connaitre et mettre en place le cadre nécessaire au fair play, Proposer des avis argumentés, se construire sa vision élargie, Situer  de son état  de forme physique et mental à différents moments de l'année [5] Connaitre règles de sécurité des activités et agir pour les mettre en œuvre : assurage escalade, arbitrage sorts co, sports duels…sécurité binôme musculation [6], Identifier différents modes de management en fonction des situations ou du résultats attendus Identifier les codes culturels et en tenir compte dans sa relation à l'autre, Décoder des références culturelles et linguistiques dans les discours, attitudes et comportements, Adopter un lexique verbal commun [7]","Aller vers l'élaboration d'un PROJET SPORTIF PERSONNEL. 
- Appréhender et approfondir le concept d'ENTRAINEMENT

- Comprendre les relations complexes entre les différentes dimensions de la personne engagée dans un apprentissage (affective, intellectuelle, émotionnelle, relationnelle) et mettre en ¿uvre les conditions pour obtenir EFFORT / RÉUSSITE / PLAISIR 
- Se préoccuper des représentations des personnes par rapport à l'activité et cerner, pour les surmonter, les obstacles aux progrès.
- Élaborer des stratégies d'actions en rapport avec l'analyse/évaluation du problème à résoudre
- Appliquer les Intentions d'actions en rapport des principes fondamentaux pour améliorer son niveau de performances, à un niveau donné  d'habiletés. 
- Attribuer une importance particulière à la prise d'INFORMATIONS pertinentes dans la relation opératoire agir/s'informer/décider /exécuter, 
- Adopter une attitude d'appropriation critique des propositions d'exercices et faire le choix des plus adaptés à la résolution d'un problème
Compétences relationnelles/organisationnelles
- Se fixer, conduire et réguler un projet d'entraînement dans une relation avec autrui d'autonomie/coopération
- S'entraîner en s'entraidant et saisir la relation entre compréhension/explication 
- Prendre des responsabilités dans un collectif  pour négocier les différents intérêts particuliers et généraux et  organiser les compétences de chacun en vue d'obtenir une efficacité optimale.

Compétences intra personnelles
- Comprendre et appliquer à soi même et aux autres, dans la gestion d'une équipe, les conditions d'un développement HUMAIN DURABLE en réfléchissant sur les concepts, parfois contradictoires, suivants : équilibre/ accomplissement de soi/performances/progrès/ dépassement de soi/ compétition.

Compétences scientifiques et technologiques
Se référer et appliquer les connaissances en rapport avec la physiologie de l'entraînement","Cet EC mobilise les compétences ci-dessous (niveau) et les capacités associés








Les connaissances associées à l'EC cours sont :
"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langue Vivante I,HU-L-... à choix (LV1),2,BS-BB-3-HUMA_S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,cf fiche type,cf fiche type
Langue Vivante II,HU-L-... à choix (LV2),2,BS-BB-3-HUMA_S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,cf fiche type,cf fiche type
Siences Humaines & éthique,BS-3-SCHUET.S2,1,BS-BB-3-HUMA_S2,,,,,,,,,,,,,,,,,,,,,,,M,M,,2,,,"C24.3 Acquérir par soi-même de nouvelles compétences en allant rechercher les ressources nécessaires ; C24.4 Exercer son esprit critique, penser par soi-même C25. Intéragir avec les autres, travailler en équipe ; C25.1 Communiquer de manière appropriée : transmettre un message, écouter, faire preuve d'empathie, affirmer son point de vue, débattre de façon argumentée ; C25.2.Situer son discours, original, par des références explicitées ; C25.3 Communiquer de manière non verbale : posturale et gestuelle ; C25.4 S'intégrer dans un groupe, se positionner, construire une relation dynamique au groupe, intégrer de nouveaux membres ; C25.5 Gérer des conflits, l’équilibre entre les intérêts individuels et collectifs ; C25.6 S'engager dans un projet collectif : construire et conduire un projet, le faire évoluer ; prendre conscience de son rôle et de sa responsabilité","C27. 2 Intégrer une dimension responsable (déontologique, éthique) dans ses actions ; identifier, évaluer et anticiper les conséquences de ses actions et décisions à différents niveaux d'échelle ; C27.3 Identifier les incertitudes et les risques et agir pour les réduire","A l'issue de ce module l'étudiant devra être capable d'appréhender une question scientifique et éthique en ayant une approche pluridisciplinaire.
Les objectifs pédagogiques de ce module sont :
- de sensibiliser les élèves aux méthodes des sciences contemporaines et aux débats éthiques (épistémologie) avec une approche pluridisciplinaire.
- de familiariser les étudiants aux méthodes et aux questionnements des sciences humaines et sociales.","Cet EC mobilise les compétences ci-dessous (niveau) et les capacités associés








Les connaissances associées à l'EC cours sont :
"
EPS,EPS-3-S2,1,BS-BB-3-HUMA_S2,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,2,1,M,"Situer son niveau de pratique à travers une activité physique, sportive et artistique APSA choisie Mobiliser ses ressources  pour se préparer  à une épreuve sportive ou artistique: la réaliser, se surpasser, Construire et diriger un échauffement spécifique à l'APSA S'approprier les méthodes de récupération, Etre capable de se fixer des objectifs de progrès Acquérir une gestuelle propre à chacune des APSA (coordination, équilibre, adaptation aux situations motrices…) [1] ; Proposer des solutions par l'action dans les situations sportives, S’engager dans une réflexion avant/ pendant et après l’action, S’approprier (connaitre et comprendre) les principes liés aux APSA pour s'adapter aux situations sportives. S’engager dans des tâches nouvelles (arbitrage, co observateur, capitaine, Identifier et mobiliser ses ressources disponibles pour répondre à une situation [2] ; Prendre en compte les spécificités de chacun et les éléments du contexte pour adapter son message, Transmettre une information claire et compréhensible par le plus grand nombre. Communiquer, échanger pour parvenir à un consensus et déterminer une stratégie d'action  S’appuyer sur son vécu et/ou  ses connaissances pour faire des propositions et débattre, Adopter les gestes et/ou les postures, appropriés à la situation  et faire part de son intention. Manifester de l’intérêt pour les autres, et le projet du groupe Adapter ses actions en prenant en compte les niveaux de chacun pour obtenir la meilleure performance du groupe. Identifier les causes du conflit et proposer des réponses constructives. Acceptation les erreurs de chacun . Apporter de la reconnaissance à l’engagement personnel. Participer activement, s’investir pour faire progresser le groupe, l’équipe [3] ; Créer et représenter une création singulière en assumant une prise de risque dans les choix personnels opérés Développer sa créativité : - Devenir concepteur, créateur d’un projet individuel et collectif artistique - Explorer, inventer, transformer, improviser, innover, Développer la dynamique de l’imaginaire : Mobiliser son imaginaire, sa sensibilité et les rendre lisibles, Faire l'expérience de la dimension poétique et esthétique du corp, Se raconter, ré -véler ses états et ses pensées et les partagées S'approprier les concepts du réel et de la symbolique du corps, Déterminer différentes étapes dans le process créatif pour accéder à une création originale et singulière. Expérimenter, explorer, écriture/ réalisation/ conception, Construire un corps, un esprit créatif/artistique : sensible, symbolique, vécu [4] ; Faire preuve de  fair play dans  le rapport de force Respecter et faire respecter des règles, Construire un esprit critique, Gérer son effort en fonction de son état de santé et ses objectifs de progrès, et de performances., Réduire les incertitudes dans les situations complexes (surnombre, type de défense, grimper en tête, représentation devant un public), Mettre en œuvre les consignes de sécurité [5] ; Identifier les effets sur chaque membre de l’équipe de l’attribution des rôles, des missions et des modes de communication et de prise de décision [6] ; Relativiser ses valeurs, croyances et comportements pour s’ouvrir et s’enrichir Organiser des équipes ou binômes interculturels Observer les atouts des managers multiculturels [7]",,cf. fiche type,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaboration du projet professionnel,BS-4-BB.POJPRO.S1,1,BS-BB-4-HUMA_S1,,,,,,,,,,,,,,,,,,,,,,2,M,2,M,,2,,"Faire le point sur ses motivations personnelles, son profil professionnel, ses atouts, son fonctionnement en équipe… (23)
Personnaliser ses outils de recherche de stage (CV, lettres..) (25,26)
Etre capable de construire son projet professionnel, sa propre démarche réseau (24,25,28)","Personnalités et profils professionnels (23,28) ; secteurs et types de métiers de l'ingénieur en BB, insertion professionnelle des jeunes diplômés BB (28) ; les attentes des recuteurs (28) ; la démarche de recherche de stage (24) ; les moyens de contact (25) ; rédaction des outils de candidature (26)",A l'issue de ce cours les étudiants devront mieux connaître l'environnement et les métiers d'ingénieurs Biosciences pour enrichir leur projet personnel et professionnel. Ils devront être capables d'élaborer des outils et une stratégie permettant d'optimiser l'intégration en entreprise en lien avec l'environnement socio-économique.,"Cet EC mobilise les compétences ci-dessous (niveau) et les capacités associés








Les connaissances associées à l'EC cours sont :
"
Langue Vivante,HU-L-... à choix (LV),2,BS-BB-4-HUMA_S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,cf. fiche type,
EPS,EPS-4-S1,1,BS-BB-4-HUMA_S1,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,2,1,M,"Situer son niveau de pratique à travers une activité physique, sportive et artistique APSA choisie Mobiliser ses ressources  pour se préparer  à une épreuve sportive ou artistique: la réaliser, se surpasser, Construire et diriger un échauffement spécifique à l'APSA S'approprier les méthodes de récupération, Etre capable de se fixer des objectifs de progrès Acquérir une gestuelle propre à chacune des APSA (coordination, équilibre, adaptation aux situations motrices…) [1] ; Proposer des solutions par l'action dans les situations sportives, S’engager dans une réflexion avant/ pendant et après l’action, S’approprier (connaitre et comprendre) les principes liés aux APSA pour s'adapter aux situations sportives. S’engager dans des tâches nouvelles (arbitrage, co observateur, capitaine, Identifier et mobiliser ses ressources disponibles pour répondre à une situation [2] ; Prendre en compte les spécificités de chacun et les éléments du contexte pour adapter son message, Transmettre une information claire et compréhensible par le plus grand nombre. Communiquer, échanger pour parvenir à un consensus et déterminer une stratégie d'action  S’appuyer sur son vécu et/ou  ses connaissances pour faire des propositions et débattre, Adopter les gestes et/ou les postures, appropriés à la situation  et faire part de son intention. Manifester de l’intérêt pour les autres, et le projet du groupe Adapter ses actions en prenant en compte les niveaux de chacun pour obtenir la meilleure performance du groupe. Identifier les causes du conflit et proposer des réponses constructives. Acceptation les erreurs de chacun . Apporter de la reconnaissance à l’engagement personnel. Participer activement, s’investir pour faire progresser le groupe, l’équipe [3] ; Créer et représenter une création singulière en assumant une prise de risque dans les choix personnels opérés Développer sa créativité : - Devenir concepteur, créateur d’un projet individuel et collectif artistique - Explorer, inventer, transformer, improviser, innover, Développer la dynamique de l’imaginaire : Mobiliser son imaginaire, sa sensibilité et les rendre lisibles, Faire l'expérience de la dimension poétique et esthétique du corp, Se raconter, ré -véler ses états et ses pensées et les partagées S'approprier les concepts du réel et de la symbolique du corps, Déterminer différentes étapes dans le process créatif pour accéder à une création originale et singulière. Expérimenter, explorer, écriture/ réalisation/ conception, Construire un corps, un esprit créatif/artistique : sensible, symbolique, vécu [4] ; Faire preuve de  fair play dans  le rapport de force Respecter et faire respecter des règles, Construire un esprit critique, Gérer son effort en fonction de son état de santé et ses objectifs de progrès, et de performances., Réduire les incertitudes dans les situations complexes (surnombre, type de défense, grimper en tête, représentation devant un public), Mettre en œuvre les consignes de sécurité [5] ; Identifier les effets sur chaque membre de l’équipe de l’attribution des rôles, des missions et des modes de communication et de prise de décision [6] ; Relativiser ses valeurs, croyances et comportements pour s’ouvrir et s’enrichir Organiser des équipes ou binômes interculturels Observer les atouts des managers multiculturels [7]","Connaitre les critères d'évaluation . Les critères de réalisation et réussite ; Savoir observer et s'observer, co évaluer ; Identifier les sources motivationnelles ( intrinsèques et extrinsèques ) et savoir les activer ; Connaissances des principes de l'APSA pour s'entrainer et s'améliorer ; Identifier les paramètres de ses choix  sportifs ( confort ou inconfort) ; Connaître les principes d'action inhérents à l'APSA[1] ; Etre capable de verbaliser en partie l'analyse de l'action ; Connaitre les principes d'actions, être capable de les citer ; Connaitre les règles propres à l'APSA ; Etre capable d’observer les autres, les situations, poser des questions pertinentes. Répondre aux questions : qu’ai-je appris de plus sur moi, sur les autres, qu’est-ce que la situation sportive m’apporte [2] ; Connaître la terminologie adaptée aux APSA [1] Connaitre et prendre en compte  les points forts/ faibles  de chacun  pour que chacun trouve sa place ds le groupe. Connaître les différentes formes d'organisation  pour faire évoluer le projet collectif [3] Connaitre les paramètres du geste artistique ( espace temps énergie) Connaitre les principe des temps de recherche, des modes de compositions et de représentation Structurer son imaginaire. Trouver la parole juste avec son corps, utiliser les outils de distorsion pour travailler sur les qualités du geste artistique. Evaluer la valeur technique et artistique d'une création Connaitre ses limites [4] Connaitre les règles Connaitre et mettre en place le cadre nécessaire au fair play, Proposer des avis argumentés, se construire sa vision élargie, Situer  de son état  de forme physique et mental à différents moments de l'année [5] Connaitre règles de sécurité des activités et agir pour les mettre en œuvre : assurage escalade, arbitrage sorts co, sports duels…sécurité binôme musculation [6], Identifier différents modes de management en fonction des situations ou du résultats attendus Identifier les codes culturels et en tenir compte dans sa relation à l'autre, Décoder des références culturelles et linguistiques dans les discours, attitudes et comportements, Adopter un lexique verbal commun [7]",cf. fiche type,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gestion des Ressources Humaines et Droit Social,BS-4-GRH.S1-S2,1,BS-BB-4-HUMA_S2,,,,,,,,,,,,,,,,,,,,,,,M,M,,2,2,,"Trouver et utiliser la (les) règle(s) de droit du travail applicable(s) ; Connaître et appliquer à des cas simples les règles relatives aux relations individuelles du travail (la vie du contrat de travail, c'est-à-dire sa conclusion, son exécution et sa rupture ; les droits et obligations des parties, etc.) ; Connaître et appliquer à des cas simples les règles relatives aux relations collectives du travail (être représenté dans l'entreprise, les textes issus de la négociation collective, les conflits collectifs du travail) (24, 25, 27, 28)","Droit du travail (24, 25, 27, 28); Gestion des Ressources Humaines (24,25, 27, 28)","Le module contribue à l'acquisition de 2 compétences principales :
1) Repérer et analyser les principes d'organisation et le fonctionnement d'une entreprise
2) Analyser le contexte humain de l'organisation pour prendre des décisions professionnelles adaptées

A l'issue de ce module l'étudiant devra être capable de :
- trouver et utiliser la (les) règle(s) de droit du travail applicable(s) ;
- connaître et appliquer à des cas simples les règles relatives aux relations individuelles du travail (la vie du contrat de travail : sa conclusion, son exécution et sa rupture ; les droits et obligations des parties, ...) ;
- connaître et appliquer à des cas simples les règles relatives aux relations collectives du travail (être représenté dans l'entreprise, les textes issus de la négociation collective, les conflits collectifs du travail).","Cet EC mobilise les compétences ci-dessous (niveau) et les capacités associés








Les connaissances associées à l'EC cours sont :
"
Sociologie pour ingénieurs,BS-4-BB.SOCING.S2,1,BS-BB-4-HUMA_S2,,,,,,,,,,,,,,,,,,,,,,,M,M,,2,,2,"Analyser un fait social sous l'angle des forces sociales qui en déterminent la dynamique. Appréhender la diversité et la robustesse de ces différentes forces, leurs modes opératoires, et le caractère socialement construit de leurs fondements. Repérer, dans une décision personnelle, ce qui relève de la liberté individuelle et des hiérarchies de valeurs définies par toute organisation, productive ou non. Comprendre de façon plus systémique les problèmes, y compris « techniques », pour y apporter de meilleures solutions.","Sociologie générale, sociologie des organisations, sociologie des croyances, sociologie de l'innovation","A l'issue de ce cours, les élèves doivent être capables d'appréhender une situation ou un phénomène social après en avoir identifié ses principales composantes, ses mécanismes et sa dynamique. A l'aide de ce ""décodeur"", le futur ingénieur sera ainsi davantage en capacité d'atteindre ses objectifs professionnels et personnels.","Cet EC mobilise les compétences ci-dessous (niveau) et les capacités associés








Les connaissances associées à l'EC cours sont :
"
